epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,695.726,1.01643,1.24404,0.61218,0.96756,0.59999,0.56621,0.57542,0.20437,0.6173,0.55241,0.59884,0.23505,2.31267,2.44013,1.35411,2.04541,0.0014192,0.0014192,0.0014192
90,703.783,0.98768,1.2104,0.60249,0.95862,0.59062,0.58447,0.5849,0.22456,0.69283,0.50467,0.59896,0.24308,2.28643,2.39962,1.29077,1.98569,0.0014126,0.0014126,0.0014126
91,711.795,1.01872,1.24118,0.60313,0.95456,0.67395,0.53425,0.60252,0.21731,0.66416,0.53881,0.60347,0.23994,2.27966,2.47063,1.35093,2.1012,0.001406,0.001406,0.001406
92,719.466,1.00936,1.25551,0.59883,0.95996,0.68758,0.58904,0.63409,0.22904,0.63961,0.54795,0.6152,0.24793,2.3019,2.37838,1.33469,2.09365,0.0013994,0.0013994,0.0013994
93,727.25,0.99344,1.24341,0.59692,0.95914,0.617,0.54436,0.52884,0.18371,0.63555,0.53881,0.5711,0.21367,2.3373,2.25925,1.45309,2.13463,0.0013928,0.0013928,0.0013928
94,734.977,1.01934,1.25103,0.5983,0.96094,0.69469,0.58183,0.59417,0.2124,0.71451,0.57078,0.63362,0.23522,2.23971,2.37838,1.29422,2.08301,0.0013862,0.0013862,0.0013862
95,742.976,0.99112,1.20879,0.59319,0.95829,0.60458,0.54795,0.57015,0.19674,0.58045,0.53881,0.56508,0.20899,2.35647,2.53352,1.42927,2.10007,0.0013796,0.0013796,0.0013796
96,750.712,0.97821,1.2048,0.58785,0.95431,0.61773,0.55341,0.57825,0.2215,0.71127,0.50619,0.58771,0.22548,2.29508,2.46163,1.29923,2.13821,0.001373,0.001373,0.001373
97,758.32,0.99781,1.22783,0.60111,0.95402,0.66041,0.51506,0.56441,0.21267,0.61636,0.51142,0.55317,0.21301,2.24644,2.64533,1.34742,2.08784,0.0013664,0.0013664,0.0013664
98,765.935,0.98626,1.21352,0.59837,0.95303,0.66679,0.57534,0.61674,0.23481,0.67208,0.57991,0.63976,0.24811,2.27263,2.52402,1.29146,2.06248,0.0013598,0.0013598,0.0013598
99,773.654,0.98136,1.22465,0.58929,0.95168,0.58265,0.59361,0.56938,0.20932,0.61363,0.55116,0.594,0.22541,2.29502,2.60136,1.30714,2.12398,0.0013532,0.0013532,0.0013532
100,781.585,0.97827,1.2194,0.58742,0.94708,0.64851,0.61644,0.60913,0.22969,0.68207,0.52055,0.59445,0.23253,2.25043,2.55116,1.27986,2.0422,0.0013466,0.0013466,0.0013466
101,789.449,0.95702,1.19469,0.58901,0.94976,0.59418,0.55491,0.57993,0.22533,0.68069,0.46724,0.57398,0.22958,2.27215,2.36056,1.33465,2.04554,0.00134,0.00134,0.00134
102,797.26,0.95408,1.19082,0.57476,0.94105,0.59532,0.54338,0.57097,0.22031,0.65411,0.52055,0.58521,0.24187,2.22116,2.4268,1.40018,2.0095,0.0013334,0.0013334,0.0013334
103,804.954,0.95676,1.21247,0.56937,0.94777,0.70932,0.53425,0.60731,0.2279,0.67734,0.48886,0.59046,0.24202,2.26096,2.39201,1.3707,2.0731,0.0013268,0.0013268,0.0013268
104,812.553,0.95085,1.16246,0.57282,0.94004,0.65763,0.57534,0.58141,0.21072,0.67206,0.53881,0.59473,0.24117,2.26213,2.47286,1.34591,2.01158,0.0013202,0.0013202,0.0013202
105,820.379,0.95178,1.18109,0.57406,0.9491,0.63738,0.61644,0.61598,0.22083,0.58453,0.53881,0.56406,0.23157,2.31842,2.32114,1.31365,2.09638,0.0013136,0.0013136,0.0013136
106,828.41,0.96411,1.16696,0.57812,0.95045,0.55423,0.6245,0.57455,0.22585,0.53008,0.57689,0.56092,0.23119,2.28347,2.34884,1.38761,2.12457,0.001307,0.001307,0.001307
107,836.124,0.93263,1.16651,0.55827,0.93239,0.53026,0.62557,0.57234,0.22036,0.61154,0.53425,0.58789,0.23458,2.24766,2.37212,1.35427,2.11496,0.0013004,0.0013004,0.0013004
108,843.683,0.93655,1.18254,0.56742,0.93635,0.63412,0.61187,0.58004,0.20774,0.60951,0.59817,0.59818,0.23331,2.36935,2.41997,1.27842,2.1738,0.0012938,0.0012938,0.0012938
109,851.251,0.93426,1.18418,0.56301,0.93823,0.59469,0.62557,0.57842,0.21832,0.63584,0.57078,0.59614,0.23712,2.22787,2.43846,1.37794,1.9662,0.0012872,0.0012872,0.0012872
110,859.165,0.96957,1.18088,0.57915,0.94499,0.64639,0.59817,0.60991,0.22185,0.59804,0.50953,0.54924,0.23519,2.28137,2.48453,1.37744,2.00599,0.0012806,0.0012806,0.0012806
111,867.105,0.9288,1.17663,0.55821,0.93502,0.6438,0.55251,0.5589,0.21516,0.6364,0.5115,0.55802,0.22187,2.28663,2.42785,1.36879,2.03925,0.001274,0.001274,0.001274
112,874.634,0.95588,1.19463,0.57169,0.94227,0.56702,0.58447,0.5653,0.21287,0.59615,0.51902,0.52728,0.21609,2.31334,2.48305,1.43368,2.09575,0.0012674,0.0012674,0.0012674
113,882.283,0.93356,1.16883,0.55829,0.92995,0.71445,0.54795,0.58376,0.2253,0.67254,0.5158,0.56931,0.23706,2.32075,2.45352,1.27962,2.10594,0.0012608,0.0012608,0.0012608
114,889.76,0.90745,1.15171,0.54748,0.93042,0.62039,0.62686,0.62471,0.23093,0.70498,0.53425,0.6243,0.23923,2.33986,2.40593,1.25616,2.11234,0.0012542,0.0012542,0.0012542
115,897.591,0.9224,1.17226,0.55786,0.94051,0.62637,0.59361,0.56463,0.21189,0.59,0.56164,0.56238,0.22435,2.35671,2.67549,1.35058,2.16051,0.0012476,0.0012476,0.0012476
116,905.545,0.90504,1.12869,0.54258,0.92889,0.6365,0.57534,0.59241,0.21799,0.62505,0.52511,0.56805,0.23209,2.33256,2.63057,1.31442,2.15891,0.001241,0.001241,0.001241
117,913.079,0.91868,1.16927,0.54312,0.92697,0.59109,0.60065,0.55459,0.20665,0.65683,0.54187,0.58793,0.22284,2.39862,2.51498,1.40202,2.22552,0.0012344,0.0012344,0.0012344
118,920.651,0.90392,1.15171,0.53639,0.92476,0.62159,0.52055,0.53952,0.21096,0.60776,0.50685,0.55279,0.22519,2.40018,2.5897,1.43659,2.28584,0.0012278,0.0012278,0.0012278
119,929.607,0.91045,1.15071,0.54166,0.92236,0.70849,0.54338,0.59601,0.21303,0.67098,0.52511,0.60561,0.2429,2.35143,2.44048,1.42617,2.14967,0.0012212,0.0012212,0.0012212
120,939.114,0.91985,1.13591,0.55107,0.9261,0.70541,0.52055,0.59619,0.2288,0.67861,0.50228,0.5721,0.23897,2.31144,2.49893,1.37145,2.16004,0.0012146,0.0012146,0.0012146
121,948.419,0.92444,1.13108,0.55247,0.92841,0.63432,0.58904,0.5682,0.21213,0.59422,0.54795,0.56947,0.22684,2.27985,2.68625,1.31524,2.13658,0.001208,0.001208,0.001208
122,956.804,0.89639,1.15488,0.53686,0.92768,0.68989,0.57903,0.60982,0.22706,0.65164,0.54667,0.59539,0.24514,2.40584,2.63616,1.32787,2.2187,0.0012014,0.0012014,0.0012014
123,964.496,0.90471,1.13509,0.53727,0.92752,0.65956,0.52511,0.5733,0.21485,0.69161,0.53251,0.60865,0.23533,2.33149,2.58774,1.36632,2.12986,0.0011948,0.0011948,0.0011948
124,972.143,0.90681,1.13434,0.54724,0.92334,0.63681,0.53643,0.55302,0.21527,0.51714,0.54773,0.53546,0.21871,2.33591,2.50781,1.39427,2.12068,0.0011882,0.0011882,0.0011882
125,980.274,0.90021,1.12447,0.54504,0.92314,0.68868,0.57078,0.57938,0.2353,0.59533,0.621,0.60636,0.24191,2.26328,2.517,1.2774,2.0929,0.0011816,0.0011816,0.0011816
