epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,636.05,0.92543,1.1735,0.55564,0.93643,0.68893,0.57643,0.59636,0.23568,0.67154,0.57078,0.63055,0.24553,2.26365,2.46096,1.23714,2.07495,0.0004952,0.0004952,0.0004952
78,643.501,0.94342,1.17338,0.56633,0.94712,0.68614,0.55708,0.58398,0.24052,0.70088,0.47945,0.61444,0.25154,2.20893,2.48815,1.20222,2.0163,0.0004754,0.0004754,0.0004754
79,651.143,0.91591,1.18554,0.54785,0.93697,0.65338,0.61644,0.61349,0.23705,0.63186,0.56621,0.61443,0.25182,2.24987,2.40168,1.22752,2.03085,0.0004556,0.0004556,0.0004556
80,658.781,0.92808,1.17839,0.55167,0.93592,0.63162,0.64981,0.62375,0.25048,0.68273,0.57534,0.63767,0.25685,2.23367,2.42938,1.25232,2.01928,0.0004358,0.0004358,0.0004358
81,666.449,0.89846,1.13507,0.53838,0.9356,0.66218,0.59969,0.61222,0.23172,0.66383,0.57991,0.63223,0.25596,2.28069,2.4553,1.23002,2.05294,0.000416,0.000416,0.000416
82,674.296,0.88515,1.13377,0.5355,0.92807,0.60992,0.6283,0.6007,0.24345,0.66696,0.57534,0.64039,0.25179,2.2209,2.4676,1.21013,2.04255,0.0003962,0.0003962,0.0003962
83,681.961,0.88623,1.1394,0.53847,0.92213,0.68099,0.60274,0.64862,0.24706,0.71109,0.54795,0.63798,0.25999,2.29435,2.47144,1.17994,2.15426,0.0003764,0.0003764,0.0003764
84,689.531,0.89589,1.15038,0.53608,0.92713,0.7033,0.56164,0.60136,0.22842,0.63848,0.60483,0.64976,0.26201,2.31208,2.46266,1.20704,2.17923,0.0003566,0.0003566,0.0003566
85,697.177,0.89333,1.12626,0.53102,0.92049,0.66327,0.61187,0.61983,0.24123,0.66472,0.621,0.65461,0.2692,2.2759,2.43622,1.222,2.10546,0.0003368,0.0003368,0.0003368
86,704.757,0.87248,1.12367,0.53135,0.92023,0.73298,0.56406,0.62397,0.24534,0.72026,0.55258,0.63703,0.26353,2.26446,2.44627,1.23875,2.13423,0.000317,0.000317,0.000317
87,712.353,0.88037,1.13368,0.52537,0.92815,0.72168,0.53881,0.63568,0.25209,0.6444,0.57534,0.62383,0.25981,2.21217,2.45002,1.27551,2.06124,0.0002972,0.0002972,0.0002972
88,719.846,0.84908,1.11256,0.51527,0.91317,0.67065,0.60274,0.65111,0.25113,0.66049,0.59361,0.63366,0.25431,2.23191,2.44793,1.27094,2.09409,0.0002774,0.0002774,0.0002774
89,727.336,0.86132,1.09912,0.51387,0.91813,0.71547,0.59817,0.63744,0.25012,0.69137,0.58305,0.63347,0.26085,2.21126,2.44102,1.21053,2.05828,0.0002576,0.0002576,0.0002576
90,735.073,0.82846,1.08053,0.50457,0.91006,0.68524,0.62626,0.64467,0.24363,0.66139,0.60274,0.63899,0.25978,2.24246,2.41756,1.22887,2.08856,0.0002378,0.0002378,0.0002378
91,743.886,0.8039,1.04239,0.47676,0.89209,0.70642,0.57991,0.60347,0.23702,0.66336,0.59817,0.63226,0.25734,2.22956,2.45412,1.24094,2.13074,0.000218,0.000218,0.000218
92,751.403,0.80402,1.0298,0.472,0.88678,0.70629,0.60393,0.63957,0.24181,0.71207,0.56463,0.63424,0.258,2.23166,2.46586,1.22582,2.15888,0.0001982,0.0001982,0.0001982
93,758.876,0.78347,1.01261,0.46573,0.88177,0.68548,0.60706,0.62893,0.24228,0.67962,0.56181,0.61939,0.24942,2.23793,2.62709,1.19143,2.17072,0.0001784,0.0001784,0.0001784
94,766.426,0.77818,1.00479,0.46117,0.88069,0.67868,0.60761,0.63282,0.24774,0.66063,0.58904,0.62901,0.26244,2.22669,2.62185,1.22898,2.15616,0.0001586,0.0001586,0.0001586
95,773.786,0.75581,0.985,0.45193,0.87179,0.63679,0.6484,0.63448,0.25238,0.63387,0.60731,0.63792,0.27149,2.19899,2.58849,1.21061,2.11286,0.0001388,0.0001388,0.0001388
96,781.442,0.75603,0.99827,0.44631,0.87248,0.68103,0.60274,0.63354,0.24657,0.66637,0.57534,0.62339,0.25781,2.23789,2.5907,1.20663,2.16351,0.000119,0.000119,0.000119
97,788.852,0.73582,0.97646,0.44009,0.87726,0.68645,0.57991,0.62482,0.24041,0.65829,0.57078,0.61387,0.25638,2.26895,2.60841,1.21967,2.20099,9.92e-05,9.92e-05,9.92e-05
98,796.329,0.73257,0.96177,0.43819,0.87258,0.7258,0.56809,0.63615,0.24285,0.67141,0.57078,0.6207,0.25459,2.26407,2.6087,1.24178,2.19028,7.94e-05,7.94e-05,7.94e-05
99,803.844,0.7398,0.95708,0.43868,0.87296,0.6783,0.57767,0.63287,0.25113,0.68094,0.57991,0.63068,0.26316,2.25091,2.61478,1.24915,2.1992,5.96e-05,5.96e-05,5.96e-05
100,811.287,0.72103,0.96962,0.43424,0.86586,0.67465,0.57078,0.6356,0.247,0.6702,0.55675,0.62733,0.25959,2.24634,2.64935,1.2317,2.20525,3.98e-05,3.98e-05,3.98e-05
